order_id,units_sold,unit_price,unit_cost,total_revenue,total_cost,total_profit
669165933,9925,255.28,159.42,2533654.0,1582243.5,951410.5
963881480,2804,205.7,117.11,576782.8,328376.44,248406.36
341417157,1779,651.21,524.96,1158502.59,933903.84,224598.75
514321792,8102,9.33,6.92,75591.66,56065.84,19525.82
115456712,5062,651.21,524.96,3296425.02,2657347.52,639077.5
547995746,2974,255.28,159.42,759202.72,474115.08,285087.64
135425221,4187,668.27,502.54,2798046.49,2104134.98,693911.51
871543967,8082,154.06,90.93,1245112.92,734896.26,510216.66
770463311,6070,81.73,56.67,496101.1,343986.9,152114.2
616607081,6593,205.7,117.11,1356180.1,772106.23,584073.87
814711606,124,154.06,90.93,19103.44,11275.32,7828.12
939825713,4168,109.28,35.84,455479.04,149381.12,306097.92
187310731,8263,109.28,35.84,902980.64,296145.92,606834.72
522840487,8974,668.27,502.54,5997054.98,4509793.96,1487261.02
832401311,4901,81.73,56.67,400558.73,277739.67,122819.06
972292029,1673,109.28,35.84,182825.44,59960.32,122865.12
419123971,6952,437.2,263.33,3039414.4,1830670.16,1208744.24
519820964,5430,47.45,31.79,257653.5,172619.7,85033.8
441619336,3830,668.27,502.54,2559474.1,1924728.2,634745.9
322067916,5908,421.89,364.69,2492526.12,2154588.52,337937.6
819028031,7450,255.28,159.42,1901836.0,1187679.0,714157.0
860673511,1273,255.28,159.42,324971.44,202941.66,122029.78
795490682,2225,152.58,97.44,339490.5,216804.0,122686.5
142278373,2187,9.33,6.92,20404.71,15134.04,5270.67
740147912,5070,81.73,56.67,414371.1,287316.9,127054.2
898523128,1815,437.2,263.33,793518.0,477943.95,315574.05
347140347,5398,9.33,6.92,50363.34,37354.16,13009.18
686048400,5822,9.33,6.92,54319.26,40288.24,14031.02
435608613,5124,47.45,31.79,243133.8,162891.96,80241.84
886494815,2370,668.27,502.54,1583799.9,1191019.8,392780.1
249693334,8661,437.2,263.33,3786589.2,2280701.13,1505888.07
406502997,2125,81.73,56.67,173676.25,120423.75,53252.5
158535134,2924,651.21,524.96,1904138.04,1534983.04,369155.0
177713572,8250,668.27,502.54,5513227.5,4145955.0,1367272.5
756274640,7327,152.58,97.44,1117953.66,713942.88,404010.78
456767165,6409,81.73,56.67,523807.57,363198.03,160609.54
162052476,3784,9.33,6.92,35304.72,26185.28,9119.44
825304400,4767,421.89,364.69,2011149.63,1738477.23,272672.4
